strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,range_position_60,box_width_pct_20,breakout_above_box_ratio_20,dry_up_days_ratio_20,ret_1d_pct,volume_ratio_20,pullback_depth_pct,amount_ma20_yuan,box_stability_40,box_quality_60,box_quality_score,dry_up_score,pullback_stability_score,trigger_strength_score,name
box_rebound_v1,箱体反抽 V1,000099.SZ,2022-06-28,0.539899,box,8.43784,8.738808,7.911147,8.631319,0.945938,9.58231,-1.351351,0.5,2.948718,1.515589,9.58231,137288949.8,0.346282,0.468989,0.524066,0.666667,0.435741,0.571038,中信海直
box_rebound_v1,箱体反抽 V1,000099.SZ,2022-07-18,0.572317,box,8.706561,8.975282,8.07238,8.878543,0.959905,10.05988,-1.077844,0.55,2.354399,1.300019,10.05988,128785487.0,0.6271,0.532474,0.497669,0.888889,0.497475,0.479933,中信海直
box_rebound_v1,箱体反抽 V1,000099.SZ,2023-05-08,0.547282,box,8.362598,8.781803,7.760663,8.71731,0.801802,11.843712,-0.976801,0.55,4.375804,2.314009,11.843712,92750468.45,0.657475,0.676367,0.407038,0.888889,0.329009,0.72394,中信海直
box_rebound_v1,箱体反抽 V1,000100.SZ,2023-04-04,0.587075,box,11.514849,11.693969,10.593661,11.66838,0.898876,10.967742,-1.935484,0.55,1.108647,1.334351,10.967742,841538337.3,0.622446,0.61537,0.683867,0.888889,0.387636,0.365174,TCL科技
box_rebound_v1,箱体反抽 V1,000100.SZ,2025-08-20,0.528576,box,13.049562,13.39755,12.701574,13.368551,0.858836,5.806452,-0.860215,0.4,2.217295,1.458401,5.806452,1184801943.4,0.700927,0.738757,0.693806,0.222222,0.535152,0.537559,TCL科技
box_rebound_v1,箱体反抽 V1,000100.SZ,2025-12-05,0.674359,box,12.614577,13.223556,11.715607,13.194557,0.927273,11.403509,-0.219298,0.55,4.357798,2.389761,11.403509,1455821823.4,0.658842,0.725409,0.638813,0.888889,0.477339,0.76831,TCL科技
box_rebound_v1,箱体反抽 V1,000153.SZ,2024-12-12,0.508797,box,10.259353,10.441202,9.319796,10.441202,0.961538,11.637931,-1.005747,0.6,1.622419,1.080846,11.637931,70612339.05,0.507971,0.459091,0.441565,0.888889,0.41206,0.367282,丰原药业
box_rebound_v1,箱体反抽 V1,000155.SZ,2025-03-27,0.652573,box,11.747139,12.227657,11.031473,12.064076,0.9,9.782609,-1.337793,0.5,2.697998,2.491614,9.782609,282609949.7,0.74915,0.727743,0.745743,0.666667,0.55163,0.601612,川能动力
box_rebound_v1,箱体反抽 V1,000155.SZ,2025-10-23,0.54663,box,10.856021,11.552053,10.234017,11.354671,0.858995,11.409538,-1.708633,0.45,4.593301,2.259638,11.409538,299714064.15,0.700125,0.718989,0.596302,0.444444,0.441679,0.69308,川能动力
box_rebound_v1,箱体反抽 V1,000156.SZ,2025-07-09,0.509661,box,10.050233,10.162457,9.364423,10.075172,0.9,7.852761,-0.858896,0.4,0.248139,1.295454,7.852761,87241303.8,0.772514,0.796325,0.801106,0.222222,0.447179,0.365173,华数传媒
