strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,base_shape_score,cup_depth_pct,handle_depth_pct,close_vs_ma60_pct,ma20_slope_pct,box_width_pct_20,box_stability_40,box_quality_60,handle_quality_10,breakout_ratio_pct,volume_ratio_20,ret_1d_pct,alpha_vs_hs300_10d_pct,amount_ma20_yuan,trend_strength_score,box_quality_score,volume_confirm_score,structure_confirm_score,name
cup_v2_trend_scored,杯柄 V2 趋势增强,601949.SH,2023-04-03,0.636362,trend_cup,6.784185,7.09559,6.228104,7.006617,0.894304,19.01528,4.923599,16.16472,2.124,12.225705,0.263873,0.442288,0.223502,6.960951,1.321406,3.278689,3.297017,127796029.3,0.719096,0.389995,0.757135,0.199899,中国出版
cup_v2_trend_scored,杯柄 V2 趋势增强,601965.SH,2023-02-15,0.61485,trend_cup,37.330042,38.694681,36.486121,38.425344,0.749975,14.04878,0.878049,13.145697,2.704193,17.354988,0.392994,0.573885,0.23417,4.390244,1.411829,2.884615,10.738571,81072214.9,0.623896,0.325918,0.787276,0.533329,中国汽研
cup_v2_trend_scored,杯柄 V2 趋势增强,601988.SH,2024-08-22,0.576339,trend_cup,11.323092,11.643341,10.476719,11.597591,0.70801,12.69203,3.983229,12.128355,1.21613,10.21611,0.592557,0.638609,0.320978,6.289308,1.343208,2.424242,10.631727,758486878.9,0.381369,0.490015,0.764403,0.583566,中国银行
cup_v2_trend_scored,杯柄 V2 趋势增强,601991.SH,2024-04-02,0.56205,trend_cup,3.901595,4.02185,3.647724,4.008488,0.56461,23.426573,4.545455,15.36243,2.848795,12.292359,0.159708,0.394603,0.241675,4.895105,1.174137,2.739726,6.676437,349528253.3,0.765123,0.258442,0.708046,0.446886,大唐发电
cup_v2_trend_scored,杯柄 V2 趋势增强,601998.SH,2025-06-03,0.607963,trend_cup,15.354688,15.931209,14.201645,15.815905,0.669077,14.5917,1.07095,12.383077,2.030967,14.11339,0.498745,0.581637,0.229169,10.174029,2.006227,3.39196,10.235441,456233322.45,0.497375,0.403307,0.985409,0.571502,中信银行
cup_v2_trend_scored,杯柄 V2 趋势增强,603012.SH,2022-07-18,0.611921,trend_cup,12.720345,13.524626,12.69918,13.4188,0.804165,20.634921,2.597403,11.069295,1.527699,11.514376,0.58535,0.574039,0.280601,1.983462,1.891745,4.966887,8.119752,62559995.6,0.361479,0.498937,0.820181,0.611672,创力集团
cup_v2_trend_scored,杯柄 V2 趋势增强,603016.SH,2026-02-05,0.655854,trend_cup,36.47948,39.757346,35.762814,39.087675,0.896402,21.885087,1.74306,16.797632,1.095582,12.972813,0.137951,0.374899,0.278664,7.391866,1.857325,6.192148,5.488246,89028581.6,0.625705,0.349084,0.935775,0.363943,新宏泰
cup_v2_trend_scored,杯柄 V2 趋势增强,603049.SH,2025-11-04,0.605006,trend_cup,55.26847,58.478404,52.521508,57.408426,0.566739,18.556442,0.54549,14.292737,1.822167,15.095004,0.359324,0.509688,0.239872,8.708358,1.85242,3.333333,8.473379,296333859.85,0.577367,0.442857,0.93414,0.609887,中策橡胶
cup_v2_trend_scored,杯柄 V2 趋势增强,603057.SH,2025-04-09,0.616291,trend_cup,21.375738,22.559019,20.050026,22.427543,0.751148,18.908189,9.181141,13.064772,2.349418,11.508704,0.123775,0.45521,0.197929,1.588089,1.87192,4.705882,8.84971,61361081.55,0.575053,0.352437,0.764151,0.611909,紫燕食品
cup_v2_trend_scored,杯柄 V2 趋势增强,603060.SH,2025-08-01,0.60136,trend_cup,28.080204,30.114423,26.564511,29.595896,0.696417,21.733333,5.397727,13.528686,1.979174,14.039735,0.41758,0.563836,0.192517,0.682958,2.569017,5.848787,10.505861,81247774.85,0.554546,0.488383,0.71037,0.535774,国检集团
cup_v2_trend_scored,杯柄 V2 趋势增强,603087.SH,2025-05-29,0.603193,trend_cup,75.964903,80.409735,71.879686,79.273354,0.571002,21.247563,2.592593,17.230377,2.717281,14.883721,0.063986,0.34995,0.184279,7.426901,1.659792,4.612756,10.738601,700122546.05,0.826861,0.252503,0.869931,0.462376,甘李药业
cup_v2_trend_scored,杯柄 V2 趋势增强,603100.SH,2023-02-15,0.560176,trend_cup,40.786536,42.836226,36.387762,42.836226,0.46416,15.688623,4.589372,17.437217,4.075468,17.069892,0.207276,0.449741,0.255756,11.377246,1.740422,5.055069,16.607492,76683998.75,0.97571,0.179756,0.896807,0.189162,川仪股份
cup_v2_trend_scored,杯柄 V2 趋势增强,603109.SH,2023-06-02,0.604064,trend_cup,25.080174,26.056747,24.000025,25.686833,0.706413,15.873312,4.306785,10.090365,1.835173,12.501528,0.525788,0.594459,0.326413,2.418879,1.919303,2.298173,8.907456,60792063.5,0.345528,0.515088,0.883794,0.689598,神驰机电
cup_v2_trend_scored,杯柄 V2 趋势增强,603113.SH,2025-06-04,0.562078,trend_cup,7.32145,7.88725,7.129078,7.796722,0.492892,24.726135,0.943396,15.169244,2.042901,11.047346,0.0,0.292298,0.338041,7.824726,2.157823,6.491499,7.246407,94096569.8,0.653654,0.259499,1.0,0.492968,金能科技
cup_v2_trend_scored,杯柄 V2 趋势增强,603129.SH,2023-07-11,0.601128,trend_cup,173.974966,181.408345,162.475464,179.279984,0.6986,24.129152,0.756743,15.896256,2.158701,10.43661,0.151504,0.390172,0.224487,9.507794,1.242259,3.471246,6.235154,118079425.6,0.708519,0.360867,0.730753,0.407526,春风动力
